rowname	logFC	AveExpr	t	P.Value	adj.P.Val	B	z.std	Gene.name	Tax	KEGG.ID	KEGGFUN	KEGGPATH	COG.ID	COGFUN	COGPATH	PFAM	direction
245	bd17_expression_153_805-2463	0.472169132850322	7.77245664264847	1.1465293914101	0.27136585833295	0.804390634056164	-5.4749655270561	1.09992257363675	pnbA	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales	K03929	para-nitrobenzyl esterase [EC:3.1.1.-]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	COG2272	Carboxylesterase type B	Lipid metabolism	PF00135 [Carboxylesterase family]	ns
246	bd17_expression_73_55980-58949	-0.418702941815849	7.75224567845193	-1.11966877227079	0.273286516908748	0.804390634056164	-5.5073202015041	-1.09552541614557		k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales				COG1629	Outer membrane receptor proteins, mostly Fe transport	Inorganic ion transport and metabolism	PF00593 [TonB dependent receptor]	ns
247	bd17_expression_64_2904-5006	0.471524035564287	7.77655654305627	1.14116448530429	0.273620324236784	0.804390634056164	-5.48108437498115	1.09476335566362	TC.FEV.OM	k_Bacteria;p_Pseudomonadota	K02014	iron complex outermembrane recepter protein	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	ENOG410XPGB	tonB-dependent siderophore receptor	Inorganic ion transport and metabolism	PF00593 [TonB dependent receptor];PF07715 [TonB-dependent Receptor Plug Domain]	ns
248	bd17_expression_73_52117-53907	0.471524035564287	7.77655654305627	1.14116448530429	0.273620324236784	0.804390634056164	-5.48108437498115	1.09476335566362	oadA	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K01571	oxaloacetate decarboxylase (Na+ extruding), alpha subunit [EC:7.2.4.2]	Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	COG0511;COG5016			PF00364 [Biotin-requiring enzyme];PF00682 [HMGL-like];PF02436 [Conserved carboxylase domain];PF13533 [Biotin-lipoyl like]	ns
249	bd17_expression_284_11792-13324	-0.267550279696622	7.51430498495954	-1.11702569092706	0.274660887585088	0.804390634056164	-5.50436669246641	-1.0923918867425	ald	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K22445	4,4'-diapolycopenoate synthase [EC:1.2.99.10]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	COG1012	NAD-dependent aldehyde dehydrogenases	Energy production and conversion	PF00171 [Aldehyde dehydrogenase family]	ns
250	bd17_expression_92_159-1424	0.637265052313437	8.32642764498548	1.12283339938476	0.274785402147817	0.804390634056164	-5.38047436702789	1.09210852642694	amt, AMT, MEP	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria	K03320	ammonium transporter, Amt family	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	ENOG410XNMH	Histidine kinase	Signal transduction mechanisms	PF00909 [Ammonium Transporter Family]	ns
251	bd17_expression_148_1091-2554	-0.459424890474052	7.95659829439673	-1.11274437236658	0.276194318173419	0.804390634056164	-5.49953577021576	-1.08890831712843	GAPDH, gapA	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms | Environmental Information Processing; Signal transduction; HIF-1 signaling pathway | Human Diseases; Neurodegenerative diseases; Alzheimer disease | Brite Hierarchies; Protein families: genetic information processing; Membrane trafficking | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome	COG0057	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	Carbohydrate transport and metabolism	PF00044 [Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain];PF02800 [Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain]	ns
252	bd17_expression_118_19983-21443	-0.606489600703836	7.99149950157268	-1.1179071285563	0.277081188270183	0.804390634056164	-5.49940358479425	-1.08689958836248	gmhC, hldE, waaE, rfaE	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales	K03272	D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70]	Metabolism; Glycan biosynthesis and metabolism; Lipopolysaccharide biosynthesis | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	COG2870	ADP-heptose synthase, bifunctional sugar kinase/adenylyltransferase	Cell envelope biogenesis, outer membrane	PF00294 [pfkB family carbohydrate kinase];PF01467 [Cytidylyltransferase-like]	ns
253	bd17_expression_26_7302-10778	-0.452749524083587	7.93971147059046	-1.10889790734396	0.27781921267122	0.804390634056164	-5.48622479633946	-1.08523132692329	dnaE	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K02337	DNA polymerase III subunit alpha [EC:2.7.7.7]	Genetic Information Processing; Replication and repair; DNA replication | Genetic Information Processing; Replication and repair; Mismatch repair | Genetic Information Processing; Replication and repair; Homologous recombination | Brite Hierarchies; Protein families: genetic information processing; DNA replication proteins | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	COG0587	DNA polymerase III, alpha subunit	DNA replication, recombination and repair	PF02811 [PHP domain];PF07733 [Bacterial DNA polymerase III alpha subunit];PF14579 [Helix-hairpin-helix motif];PF17657 []	ns
254	bd17_expression_298_1010-1342	-0.446578892452102	7.76908060799489	-1.11346976155802	0.278392306996015	0.804390634056164	-5.50986490444953	-1.08393796068706	K07484	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria	K07484	transposase	Not Included in Pathway or Brite; Unclassified: genetic information processing; Replication and repair	ENOG4111NDY	Pfam:Transposase_34	Replication, recombination and repair	PF05717 [IS66 Orf2 like protein]	ns
255	bd17_expression_193_5693-7063	-0.419435363321921	7.74896614273576	-1.10677175940746	0.278921441178276	0.804390634056164	-5.52010264781137	-1.08274541205989	exbB	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K03561	biopolymer transport protein ExbB	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	COG0811	Biopolymer transport proteins		PF01618 [MotA/TolQ/ExbB proton channel family]	ns
256	bd17_expression_38_3058-5436	0.409515533825293	7.87210028900833	1.10489028962053	0.279519508878001	0.804390634056164	-5.51033787185851	1.08139935403473	K07003	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales	K07003	uncharacterized protein	Not Included in Pathway or Brite; Poorly characterized; Function unknown	COG1033	Predicted exporters of the RND superfamily	General function prediction only	PF03176 [MMPL family];PF12349 [Sterol-sensing domain of SREBP cleavage-activation]	ns
257	bd17_expression_100_4974-5705	-0.472431599988547	7.86389245966098	-1.10623363634737	0.280898140815431	0.804390634056164	-5.51233631165609	-1.07830393672018		k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales								ns
258	bd17_expression_129_6826-7782	-0.261524102374881	7.50872058733293	-1.10198665173805	0.281053899442147	0.804390634056164	-5.52019418128192	-1.0779548639545	argK	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K07588	LAO/AO transport system kinase [EC:2.7.-.-]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	COG1703	Putative periplasmic protein kinase ArgK and related GTPases of G3E family	Amino acid transport and metabolism	PF03308 [ArgK protein]	ns
259	bd17_expression_232_1406-4240	-0.409566526218201	7.74551392213424	-1.10064065049305	0.281330661336772	0.804390634056164	-5.52757765827448	-1.07733493296537		k_Bacteria;p_Pseudomonadota								ns
260	bd17_expression_46_1586-3028	0.401713583853298	7.73248568458191	1.09962011231406	0.281766858231633	0.804390634056164	-5.52923917260234	1.07635871623334										ns
261	bd17_expression_220_3386-4450	0.385156530497555	7.75365221059776	1.103074440933	0.282806893139812	0.804390634056164	-5.51557714914998	1.07403522740876	FBA, fbaA	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria	K01624	fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms | Metabolism; Energy metabolism; Methane metabolism	COG0191	Fructose/tagatose bisphosphate aldolase	Carbohydrate transport and metabolism	PF01116 [Fructose-bisphosphate aldolase class-II]	ns
262	bd17_expression_115_33608-34207	-0.547525599108177	7.94062227755576	-1.10149560206153	0.283718441265382	0.804390634056164	-5.5152616770207	-1.07200354192018	hslV, clpQ	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K01419	ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]	Brite Hierarchies; Protein families: metabolism; Peptidases	COG5405	ATP-dependent protease HslVU (ClpYQ), peptidase subunit	Posttranslational modification, protein turnover, chaperones	PF00227 [Proteasome subunit]	ns
263	bd17_expression_182_8529-11642	0.390871099897547	7.7215307709681	1.09441793141012	0.283997921301393	0.804390634056164	-5.53475941016738	1.07138151420486	czcA	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K15726	cobalt-zinc-cadmium resistance protein CzcA	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	COG3696	Putative silver efflux pump	Inorganic ion transport and metabolism	PF00873 [AcrB/AcrD/AcrF family]	ns
264	bd17_expression_173_55225-56610	0.366860287846275	7.71980495959542	1.09905184483668	0.284693295788572	0.804390634056164	-5.51816372223964	1.06983564251152	glmU	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Moraxellales	K04042	bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]	Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism	COG1207	N-acetylglucosamine-1-phosphate uridyltransferase (contains nucleotidyltransferase and I-patch acetyltransferase domains)	Cell envelope biogenesis, outer membrane	PF00132 [Bacterial transferase hexapeptide (six repeats)];PF12804 [MobA-like NTP transferase domain];PF14602 [Hexapeptide repeat of succinyl-transferase]	ns
265	bd17_expression_59_13443-14000	0.570359045960784	7.97320990668893	1.09920492350538	0.285654238893313	0.804390634056164	-5.50197689990867	1.06770358923364		k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales								ns
266	bd17_expression_268_15875-17458	-0.50240525350704	7.81391356540866	-1.09141157383358	0.285691547486591	0.804390634056164	-5.53570170533699	-1.06762091017285										ns
267	bd17_expression_152_797-3010	0.467722072966514	7.79689558746405	1.11137330049965	0.286223672956991	0.804390634056164	-5.5145509064511	1.06644246763162		k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales				ENOG4111QVE	type i phosphodiesterase nucleotide pyrophosphatase	Function unknown	PF01663 [Type I phosphodiesterase / nucleotide pyrophosphatase];PF13385 [Concanavalin A-like lectin/glucanases superfamily]	ns
268	bd17_expression_30_34486-35283	0.416279421391549	7.78291144289603	1.08832016859505	0.286629170720002	0.804390634056164	-5.54047162114508	1.06554544753703	apaH	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K01525	bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]	Metabolism; Nucleotide metabolism; Purine metabolism	COG0639	Diadenosine tetraphosphatase and related serine/threonine protein phosphatases	Signal transduction mechanisms	PF00149 [Calcineurin-like phosphoesterase]	ns
269	bd17_expression_174_2918-4324	0.376153080093677	7.70837137927742	1.0933995673461	0.286943140844144	0.804390634056164	-5.52655607742779	1.0648514884035	glft2	k_Bacteria	K16650	galactofuranosylgalactofuranosylrhamnosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,5/1,6-galactofuranosyltransferase [EC:2.4.1.288]	Metabolism; Glycan biosynthesis and metabolism; Arabinogalactan biosynthesis - Mycobacterium | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases	COG1216	Predicted glycosyltransferases	General function prediction only	PF00535 [Glycosyl transferase family 2]	ns
270	bd17_expression_38_28340-31732	0.397712800248874	7.73845134518546	1.08536879962586	0.287908964576063	0.804390634056164	-5.54400258548749	1.06271996394961										ns
271	bd17_expression_122_11808-13256	-0.255183708398242	7.50261599225513	-1.08587061127522	0.288021186017778	0.804390634056164	-5.53693616968913	-1.06247260986173						COG0156	7-keto-8-aminopelargonate synthetase and related enzymes	Coenzyme metabolism		ns
272	bd17_expression_224_14501-15967	-0.255183708398242	7.50261599225513	-1.08587061127522	0.288021186017778	0.804390634056164	-5.53693616968913	-1.06247260986173	gshA, ybdK	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K06048	glutamate---cysteine ligase / carboxylate-amine ligase [EC:6.3.2.2 6.3.-.-]	Metabolism; Metabolism of other amino acids; Glutathione metabolism	COG2308	Uncharacterized conserved protein	Function unknown	PF04174 [A circularly permuted ATPgrasp ];PF14403 [Circularly permuted ATP-grasp type 2 ]	ns
273	bd17_expression_123_3537-4499	0.373634532635698	7.6913534013328	1.08380933523442	0.288586837518475	0.804390634056164	-5.54383760113967	1.06122681143019	mexT	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria	K18297	LysR family transcriptional regulator, mexEF-oprN operon transcriptional activator	Brite Hierarchies; Protein families: genetic information processing; Transcription factors | Brite Hierarchies; Protein families: signaling and cellular processes; Antimicrobial resistance genes	ENOG410XR2G	LysR family (Transcriptional regulator	Transcription	PF00126 [Bacterial regulatory helix-turn-helix protein, lysR family];PF03466 [LysR substrate binding domain]	ns
274	bd17_expression_220_19177-21042	0.412301449766435	7.78701134330383	1.0863583741676	0.289592479217504	0.804390634056164	-5.53751703749213	1.05901603034526										ns
275	bd17_expression_3_25759-27057	0.419003790692468	7.80107721401317	1.08474021331869	0.290214218919605	0.804390634056164	-5.53968065901751	1.05765179658895	pcnB	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales	K00970	poly(A) polymerase [EC:2.7.7.19]	Genetic Information Processing; Folding, sorting and degradation; RNA degradation | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis	COG0617	tRNA nucleotidyltransferase/poly(A) polymerase	Translation, ribosomal structure and biogenesis	PF01743 [Poly A polymerase head domain];PF12626 [Polymerase A arginine-rich C-terminus];PF12627 [Probable RNA and SrmB- binding site of polymerase A]	ns
276	bd17_expression_128_3910-6204	0.498196765906229	8.17286069863342	1.07504834407975	0.293091933609009	0.804390634056164	-5.50023928228264	1.05136293210412	plsB	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K00631	glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]	Metabolism; Lipid metabolism; Glycerolipid metabolism | Metabolism; Lipid metabolism; Glycerophospholipid metabolism | Brite Hierarchies; Protein families: metabolism; Lipid biosynthesis proteins	COG2937	Glycerol-3-phosphate O-acyltransferase	Lipid metabolism	PF01553 [Acyltransferase];PF19277 []	ns
277	bd17_expression_161_14532-15890	0.394108105479363	7.74391926489991	1.07242063359492	0.293571878145006	0.804390634056164	-5.55726112126341	1.05031811743413	xseA	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales	K03601	exodeoxyribonuclease VII large subunit [EC:3.1.11.6]	Genetic Information Processing; Replication and repair; Mismatch repair | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	COG1570	Exonuclease VII, large subunit	DNA replication, recombination and repair	PF01336 [OB-fold nucleic acid binding domain];PF02601 [Exonuclease VII, large subunit];PF13742 [OB-fold nucleic acid binding domain]	ns
278	bd17_expression_242_10724-12598	0.394108105479363	7.74391926489991	1.07242063359492	0.293571878145006	0.804390634056164	-5.55726112126341	1.05031811743413	mrdA	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K05515	penicillin-binding protein 2 [EC:3.4.16.4]	Metabolism; Glycan biosynthesis and metabolism; Peptidoglycan biosynthesis | Human Diseases; Drug resistance: Antimicrobial; beta-Lactam resistance | Brite Hierarchies; Protein families: metabolism; Peptidoglycan biosynthesis and degradation proteins	COG0768	Cell division protein FtsI/penicillin-binding protein 2	Cell envelope biogenesis, outer membrane	PF00905 [Penicillin binding protein transpeptidase domain];PF03717 [Penicillin-binding Protein dimerisation domain]	ns
279	bd17_expression_2_7186-8196	-0.403235136226016	7.73801122912195	-1.07227152788642	0.293834475397522	0.804390634056164	-5.5562577219859	-1.0497469416548									PF08238 [Sel1 repeat]	ns
280	bd17_expression_58_10364-11887	-0.249526093301967	7.49588423593744	-1.07188718056258	0.294164131969608	0.804390634056164	-5.550941537334	-1.04903038948394	spoVR	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria	K06415	stage V sporulation protein R	Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Cell growth	COG2719	Uncharacterized conserved protein	Function unknown	PF04293 [SpoVR like protein]	ns
281	bd17_expression_226_4422-6905	-0.249526093301967	7.49588423593744	-1.07188718056258	0.294164131969608	0.804390634056164	-5.550941537334	-1.04903038948394		k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria				ENOG410YMJM	Outer membrane fimbrial	Cell wall/membrane/envelope biogenesis	PF15976 [CS1-pili formation C-terminal];PF16967 [E-set like domain]	ns
282	bd17_expression_233_845-1660	-0.249526093301967	7.49588423593744	-1.07188718056258	0.294164131969608	0.804390634056164	-5.550941537334	-1.04903038948394		k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Clostridia				ENOG4111P4I		Function unknown		ns
283	bd17_expression_153_13027-18348	-0.505703268431097	7.85842453994653	-1.07421260478168	0.295833371494697	0.804390634056164	-5.53295673576345	-1.0454103147104		k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria				ENOG410XNR0	ATPase involved in D repair 	Function unknown	PF12458 [ATPase involved in DNA repair ]	ns
284	bd17_expression_95_6948-8123	0.371217580035206	7.72953790529327	1.06775306839553	0.296105347688255	0.804390634056164	-5.56171081724747	1.04482177778765	metX	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales	K00641	homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]	Metabolism; Energy metabolism; Sulfur metabolism | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism	COG2021	Homoserine acetyltransferase	Amino acid transport and metabolism	PF00561 [alpha/beta hydrolase fold]	ns
285	bd17_expression_75_9515-11902	0.416322825053001	7.80780897033086	1.06604408070259	0.296389600520306	0.804390634056164	-5.56292365738433	1.04420706162722	ICP	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales	K14475	inhibitor of cysteine peptidase	Human Diseases; Infectious diseases: Parasitic; African trypanosomiasis	COG4880	Secreted protein containing C-terminal beta-propeller domain distantly related to WD-40 repeats	General function prediction only	PF09826 [Beta propeller domain]	ns
286	bd17_expression_244_16841-18028	0.416322825053001	7.80780897033086	1.06604408070259	0.296389600520306	0.804390634056164	-5.56292365738433	1.04420706162722	regB, regS, actS	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales	K15011	two-component system, sensor histidine kinase RegB [EC:2.7.13.3]	Environmental Information Processing; Signal transduction; Two-component system | Brite Hierarchies; Protein families: metabolism; Protein kinases | Brite Hierarchies; Protein families: signaling and cellular processes; Two-component system	ENOG410XP2A	phosphorelay sensor kinase activity	Signal transduction mechanisms		ns
287	bd17_expression_94_14064-15410	0.426617062942117	7.75455054036237	1.07952789584305	0.296391993367314	0.804390634056164	-5.52370101368461	1.0442018886069	nhaC	k_Bacteria;p_Pseudomonadota	K03315	Na+:H+ antiporter, NhaC family	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	COG1757	Na+/H+ antiporter	Energy production and conversion		ns
288	bd17_expression_3_36556-37947	-0.246448136160646	7.49224012917908	-1.06403334862671	0.297655111140445	0.804390634056164	-5.55874794700385	-1.04147508395225	sthA, udhA	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K00322	NAD(P) transhydrogenase [EC:1.6.1.1]	Metabolism; Metabolism of cofactors and vitamins; Nicotinate and nicotinamide metabolism	COG1249	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes	Energy production and conversion	PF00070 [Pyridine nucleotide-disulphide oxidoreductase];PF02852 [Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain];PF07992 [Pyridine nucleotide-disulphide oxidoreductase];PF13738 [Pyridine nucleotide-disulphide oxidoreductase]	ns
289	bd17_expression_251_2076-3647	-0.246448136160646	7.49224012917908	-1.06403334862671	0.297655111140445	0.804390634056164	-5.55874794700385	-1.04147508395225	hutH, HAL	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria	K01745	histidine ammonia-lyase [EC:4.3.1.3]	Metabolism; Amino acid metabolism; Histidine metabolism	COG2986	Histidine ammonia-lyase	Amino acid transport and metabolism	PF00221 [Aromatic amino acid lyase]	ns
290	bd17_expression_174_7808-8536	0.34582799442734	7.6698260653431	1.0604284406163	0.299432550016782	0.804390634056164	-5.56885772643379	1.03765103240849										ns
291	bd17_expression_271_2768-3880	0.34582799442734	7.6698260653431	1.0604284406163	0.299432550016782	0.804390634056164	-5.56885772643379	1.03765103240849	gcpE, ispG	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K03526	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]	Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis	COG0821	Enzyme involved in the deoxyxylulose pathway of isoprenoid biosynthesis	Lipid metabolism	PF04551 [GcpE protein]	ns
292	bd17_expression_33_19722-21569	0.376437204349238	7.70837137927742	1.05814959847623	0.299904569914509	0.804390634056164	-5.5718163374994	1.03663805733858	fabY	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K18473	acetoacetyl-[acyl-carrier protein] synthase [EC:2.3.1.180]	Metabolism; Lipid metabolism; Fatty acid biosynthesis | Brite Hierarchies; Protein families: metabolism; Lipid biosynthesis proteins	COG0304	3-oxoacyl-(acyl-carrier-protein) synthase	Secondary metabolites biosynthesis, transport and catabolism|Lipid metabolism	PF00109 [Beta-ketoacyl synthase, N-terminal domain];PF02801 [Beta-ketoacyl synthase, C-terminal domain]	ns
293	bd17_expression_118_27694-28809	0.376437204349238	7.70837137927742	1.05814959847623	0.299904569914509	0.804390634056164	-5.5718163374994	1.03663805733858										ns
294	bd17_expression_161_6509-7582	0.376437204349238	7.70837137927742	1.05814959847623	0.299904569914509	0.804390634056164	-5.5718163374994	1.03663805733858										ns
295	bd17_expression_173_49471-50880	-0.39821486100561	7.73391132871415	-1.06095746383019	0.301378686278762	0.804390634056164	-5.56263142387853	-1.03348136622923	manC, cpsB	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria	K00971	mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism	COG0662;COG0836			PF00483 [Nucleotidyl transferase];PF01050 [Mannose-6-phosphate isomerase];PF07883 [Cupin domain]	ns
296	bd17_expression_75_27819-29075	0.372436420744818	7.71433703988097	1.05466988913018	0.301463206662493	0.804390634056164	-5.57536717195846	1.03330068531125	tyrP	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K03834	tyrosine-specific transport protein	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	COG0814	Amino acid permeases	Amino acid transport and metabolism	PF03222 [Tryptophan/tyrosine permease family]	ns
297	bd17_expression_10_11246-12310	-0.243176122342682	7.48838154292515	-1.0554921222342	0.301485062121388	0.804390634056164	-5.56718757412175	-1.03325396994764		k_Bacteria				ENOG410ZNE0		Function unknown		ns
298	bd17_expression_16_53417-54583	-0.243176122342682	7.48838154292515	-1.0554921222342	0.301485062121388	0.804390634056164	-5.56718757412175	-1.03325396994764		k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales				ENOG410XPHK	Acyltransferase	Function unknown		ns
299	bd17_expression_27_28250-29371	-0.243176122342682	7.48838154292515	-1.0554921222342	0.301485062121388	0.804390634056164	-5.56718757412175	-1.03325396994764		k_Bacteria;p_Pseudomonadota				COG3182	Uncharacterized iron-regulated membrane protein	Function unknown	PF03929 [PepSY-associated TM region]	ns
300	bd17_expression_30_6859-8565	-0.243176122342682	7.48838154292515	-1.0554921222342	0.301485062121388	0.804390634056164	-5.56718757412175	-1.03325396994764		k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales				ENOG410ZW5J	ig domain protein group 2 domain protein	Function unknown	PF02368 [Bacterial Ig-like domain (group 2)]	ns
301	bd17_expression_61_2462-3136	-0.243176122342682	7.48838154292515	-1.0554921222342	0.301485062121388	0.804390634056164	-5.56718757412175	-1.03325396994764	chrR	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales	K07167	putative transcriptional regulator	Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Signaling proteins	COG3806	Anti-sigma factor	Signal transduction mechanisms	PF12973 [ChrR Cupin-like domain]	ns
302	bd17_expression_77_6880-8625	-0.243176122342682	7.48838154292515	-1.0554921222342	0.301485062121388	0.804390634056164	-5.56718757412175	-1.03325396994764	TC.CIC	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales	K03281	chloride channel protein, CIC family	Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Transport	COG0038	Chloride channel protein EriC	Inorganic ion transport and metabolism	PF00654 [Voltage gated chloride channel]	ns
303	bd17_expression_156_23521-24639	-0.243176122342682	7.48838154292515	-1.0554921222342	0.301485062121388	0.804390634056164	-5.56718757412175	-1.03325396994764		k_Bacteria;n_Terrabacteria group;p_Bacillota								ns
304	bd17_expression_186_6278-6691	-0.243176122342682	7.48838154292515	-1.0554921222342	0.301485062121388	0.804390634056164	-5.56718757412175	-1.03325396994764										ns
